nr.,xpix.,ypix.,xmm,ymm,powierzchniamm,dlugoscmm,szerokoscmm,kat,obwodmm,obwod_c.mm,srednica_fereta_hmm,srednica_fereta_vmm,sredn._martinamm,sredn._sitowamm,srednia_jaskrawosc,r,g,b,y,liczenie_obiektow_w,udzial_punktow,pole_obrazu_mm2
31,1098.0,521.0,109.8,52.1,0.51,0.81602592,0.71226249,164.75,3.13137083,4.8067944,0.8,0.7,0.8,0.80582391,148.1,106.8,160.3,194.0,148.1,2,6.4,8.4
32,918.5,274.5,91.9,27.5,0.98,1.4,0.9,96.92,4.67279218,7.31128766,1.3,0.9,1.4,1.11703839,161.4,118.1,175.8,200.8,161.4,2,10.6,9.6
33,188.0,302.0,18.8,30.2,1.04,1.5,0.9,150.01,5.80416301,7.65809966,1.5,0.9,1.5,1.15072548,165.6,121.0,180.8,204.2,165.6,2,9.7,10.9
34,435.0,837.0,43.5,83.7,0.4,0.73025665,0.64248729,121.21,3.29705625,4.31701084,0.7,0.7,0.7,0.71364965,155.4,119.8,167.2,187.5,155.4,1,5.9,6.8
35,694.0,565.5,69.4,56.6,0.46,0.85656509,0.7,67.36,2.36568542,4.90246968,0.7,0.6,0.9,0.76530399,169.1,127.1,184.4,201.1,169.2,2,6.5,7.6
36,98.5,213.5,9.9,21.4,0.24,0.70804749,0.38780706,87.67,1.68284271,3.51662988,0.6,0.3,0.7,0.55279064,135.6,101.5,145.8,172.5,135.6,2,3.9,6.8
37,294.0,518.5,29.4,51.9,0.98,1.35185003,1.0,3.07,5.21421354,7.42995532,1.1,1.0,1.4,1.11703839,157.5,118.0,170.9,191.8,157.5,1,10.5,9.3
38,763.0,289.5,76.3,29.0,0.66,1.1,0.8,109.37,3.33137083,6.00628745,1.0,0.7,1.1,0.91669957,160.3,118.1,175.0,196.3,160.4,1,7.9,8.1
39,421.0,745.0,42.1,74.5,1.21,1.8,0.86045675,17.07,4.97989895,8.62076497,1.8,0.9,1.8,1.24121708,144.7,103.0,157.2,189.6,144.7,3,10.7,11.5
40,950.0,229.0,95.0,22.9,0.4,0.8,0.8,20.97,2.95563489,5.02654825,0.7,0.7,0.8,0.71364965,147.4,108.7,159.4,186.4,147.4,1,5.8,6.8
41,480.5,712.0,48.1,71.2,1.05,1.73678341,0.8,105.95,6.21421354,8.24363625,1.5,0.9,1.7,1.15624458,164.6,121.0,179.2,203.2,164.6,2,10.0,10.5
42,69.0,326.5,6.9,32.6,0.3,0.7,0.5,57.1,1.76568542,3.79613689,0.5,0.5,0.7,0.61803872,137.1,104.8,146.9,171.1,137.1,1,4.8,6.0
43,539.5,302.0,54.0,30.2,0.26,0.61243296,0.5,54.79,2.04852812,3.50374182,0.6,0.5,0.6,0.57536274,139.9,103.3,152.3,172.6,140.0,1,4.3,6.0
44,21.5,949.5,2.1,95.0,0.59,1.0,0.8,75.36,3.87279218,5.67233358,0.9,0.7,1.0,0.86672448,145.1,108.2,155.5,188.7,145.2,1,8.9,6.5
45,146.5,197.0,14.7,19.7,1.18,1.8,0.9,165.76,6.14558436,8.71960339,1.8,0.9,1.8,1.22573352,154.8,112.2,168.8,194.0,154.8,1,10.3,11.2
46,832.0,355.5,83.2,35.6,0.34,0.73245344,0.60888386,133.97,2.83847759,4.22288093,0.7,0.6,0.7,0.65795246,147.1,108.2,159.6,184.5,147.1,1,5.7,6.0
47,1254.0,228.5,125.4,22.9,0.66,1.2,0.7,43.95,3.33137083,6.07282316,1.2,0.6,1.2,0.91669957,148.0,106.0,160.3,195.6,148.1,2,7.0,9.3
48,1091.0,155.0,109.1,15.5,0.43,0.84816999,0.60602651,44.04,2.58994948,4.6002157,0.7,0.7,0.8,0.7399277,145.4,106.1,156.9,189.1,145.4,1,5.9,7.3
49,90.5,813.0,9.1,81.3,0.5,0.9405797,0.7,67.02,2.55563489,5.18177892,0.9,0.6,0.9,0.79788456,129.5,95.2,139.8,166.2,129.5,2,6.2,8.1
50,860.0,734.5,86.0,73.5,0.15,0.4433538,0.3362505,66.35,1.22426406,2.46076918,0.4,0.3,0.4,0.43701937,134.4,103.1,142.5,174.3,134.4,1,2.7,5.5
51,24.0,883.0,2.4,88.3,0.49,0.81448088,0.7,46.53,2.61421354,4.76468103,0.7,0.7,0.8,0.78986542,135.0,104.9,143.7,169.3,135.0,1,6.3,7.3
52,124.0,785.0,12.4,78.5,0.62,1.0,0.7922379,0.25,3.53137083,5.64941326,1.0,0.7,1.0,0.88848664,141.7,101.2,154.1,183.7,141.7,1,7.1,8.4
53,1017.5,697.0,101.8,69.7,0.43,0.74757438,0.7,14.4,2.24852812,4.5489171,0.7,0.6,0.7,0.7399277,144.5,102.5,156.6,192.9,144.6,3,7.1,7.6
